6/3/2019,22.3447,01.83947
6/4/2019,22.4625,01.67035
6/5/2019,22.5737,01.49559
6/6/2019,22.6784,01.31549
6/7/2019,22.7764,01.13037
6/8/2019,22.8713,00.93257
6/9/2019,22.9556,00.73825
6/10/2019,23.0332,00.53995
6/11/2019,23.1040,00.33802
6/12/2019,23.1680,00.13282
6/13/2019,23.2251,-00.07527
6/14/2019,23.2754,-00.28590
6/15/2019,23.3189,-00.49867
6/16/2019,23.3555,-00.71321
6/17/2019,23.3853,-00.92913
6/18/2019,23.4082,-01.14604
6/19/2019,23.4242,-01.36356
6/20/2019,23.4333,-01.58129
6/21/2019,23.4356,-01.79884
6/22/2019,23.4309,-02.01580
6/23/2019,23.4194,-02.23180
6/24/2019,23.4010,-02.44644
6/25/2019,23.3758,-02.65933
6/26/2019,23.3437,-02.87008
6/27/2019,23.3047,-03.07831
6/28/2019,23.2590,-03.28363
6/29/2019,23.2064,-03.48567
6/30/2019,23.1471,-03.68406
7/1/2019,23.0810,-03.87843
7/2/2019,23.0082,-04.06842
7/3/2019,22.9287,-04.25368
7/4/2019,22.8425,-04.43387
7/5/2019,22.7497,-04.60865
7/6/2019,22.6504,-04.77769
7/7/2019,22.5445,-04.94067
7/8/2019,22.4320,-05.09728
7/9/2019,22.3132,-05.24722
7/10/2019,22.1879,-05.39020
7/11/2019,22.0562,-05.52595
7/12/2019,21.9183,-05.65419
7/13/2019,21.7740,-05.77467
7/14/2019,21.6236,-05.88714
7/15/2019,21.4671,-05.99138
7/16/2019,21.3045,-06.08717
7/17/2019,21.1359,-06.17430
7/18/2019,20.9613,-06.25257
7/19/2019,20.7808,-06.32181
7/20/2019,20.5945,-06.38184
7/21/2019,20.4025,-06.43253
7/22/2019,20.2047,-06.47372
7/23/2019,20.0013,-06.50529
7/24/2019,19.7923,-06.52714
7/25/2019,19.5779,-06.53915
7/26/2019,19.3580,-06.54125
7/27/2019,19.1327,-06.53336
7/28/2019,18.9022,-06.51543
7/29/2019,18.6665,-06.48741
7/30/2019,18.4257,-06.44927
7/31/2019,18.1798,-06.40100
8/1/2019,17.9290,-06.34259
8/2/2019,17.6733,-06.27405
8/3/2019,17.4128,-06.19541
8/4/2019,17.1477,-06.10669
8/5/2019,16.8779,-06.00794
8/6/2019,16.6035,-05.89922
8/7/2019,16.3248,-05.78060
8/8/2019,16.0416,-05.65217
8/9/2019,15.7542,-05.51402
8/10/2019,15.4626,-05.36625
8/11/2019,15.1669,-05.20897
8/12/2019,14.8672,-05.04232
8/13/2019,14.5636,-04.86643
8/14/2019,14.2561,-04.68144
8/15/2019,13.9449,-04.48751
8/16/2019,13.6300,-04.28480
8/17/2019,13.3114,-04.07350
8/18/2019,12.9894,-03.85377
8/19/2019,12.6639,-03.62581
8/20/2019,12.3351,-03.38981
8/21/2019,12.0030,-03.14599
8/22/2019,11.6678,-02.89455
8/23/2019,11.3294,-02.63572
8/24/2019,10.9880,-02.36972
8/25/2019,10.6437,-02.09678
8/26/2019,10.2966,-01.81714
8/27/2019,09.9467,-01.53106
8/28/2019,09.5942,-01.23877
8/29/2019,09.2391,-00.94054
8/30/2019,08.8816,-00.63662
8/31/2019,08.5217,-00.32729
9/1/2019,08.1595,-00.01281
9/2/2019,07.7952,00.30654
9/3/2019,07.4287,00.63048
9/4/2019,07.0757,00.94497
9/5/2019,06.7054,01.27707
9/6/2019,06.3334,01.61292
9/7/2019,05.9596,01.95221
9/8/2019,05.5842,02.29464
9/9/2019,05.2073,02.63992
9/10/2019,04.8290,02.98774
9/11/2019,04.4493,03.33779
9/12/2019,04.0683,03.68977
9/13/2019,03.6862,04.04334
9/14/2019,03.3029,04.39821
9/15/2019,02.9187,04.75405
9/16/2019,02.5335,05.11054
9/17/2019,02.1475,05.46735
9/18/2019,01.7608,05.82416
9/19/2019,01.3734,06.18064
9/20/2019,00.9854,06.53646
9/21/2019,00.5969,06.89129
9/22/2019,00.2080,07.24480
9/23/2019,-00.1811,07.59664
9/24/2019,-00.5705,07.94648
9/25/2019,-00.9600,08.29399
9/26/2019,-01.3495,08.63881
9/27/2019,-01.7389,08.98062
9/28/2019,-02.1281,09.31907
9/29/2019,-02.5170,09.65382
9/30/2019,-02.9055,09.98452
10/1/2019,-03.2935,10.31084
10/2/2019,-03.6809,10.63242
10/3/2019,-04.0675,10.94892
10/4/2019,-04.4534,11.26001
10/5/2019,-04.8383,11.56533
10/6/2019,-05.2222,11.86455
10/7/2019,-05.6050,12.15733
10/8/2019,-05.9865,12.44332
10/9/2019,-06.3668,12.72220
10/10/2019,-06.7456,12.99362
10/11/2019,-07.1228,13.25725
10/12/2019,-07.4985,13.51277
10/13/2019,-07.8724,13.75985
10/14/2019,-08.2445,13.99816
10/15/2019,-08.6146,14.22738
10/16/2019,-08.9828,14.44721
10/17/2019,-09.3488,14.65734
10/18/2019,-09.7127,14.85745
10/19/2019,-10.0742,15.04726
10/20/2019,-10.4332,15.22647
10/21/2019,-10.7898,15.39480
10/22/2019,-11.1437,15.55197
10/23/2019,-11.4949,15.69771
10/24/2019,-11.8432,15.83177
10/25/2019,-12.1885,15.95388
10/26/2019,-12.5307,16.06382
10/27/2019,-12.8698,16.16134
10/28/2019,-13.2055,16.24623
10/29/2019,-13.5377,16.31828
10/30/2019,-13.8664,16.37729
10/31/2019,-14.1914,16.42306
11/1/2019,-14.5127,16.45544
11/2/2019,-14.8300,16.47425
11/3/2019,-15.1432,16.47936
11/4/2019,-15.4524,16.47062
11/5/2019,-15.7572,16.44793
11/6/2019,-16.0577,16.41118
11/7/2019,-16.3537,16.36027
11/8/2019,-16.6451,16.29515
11/9/2019,-16.9318,16.21576
11/10/2019,-17.2137,16.12205
11/11/2019,-17.4907,16.01401
11/12/2019,-17.7627,15.89163
11/13/2019,-18.0295,15.75493
11/14/2019,-18.2911,15.60395
11/15/2019,-18.5474,15.43872
11/16/2019,-18.7982,15.25933
11/17/2019,-19.0435,15.06585
11/18/2019,-19.2832,14.85839
11/19/2019,-19.5171,14.63709
11/20/2019,-19.7452,14.40208
11/21/2019,-19.9673,14.15353
11/22/2019,-20.1834,13.89162
11/23/2019,-20.3933,13.61654
11/24/2019,-20.5970,13.32853
11/25/2019,-20.7943,13.02782
11/26/2019,-20.9851,12.71466
11/27/2019,-21.1694,12.38933
11/28/2019,-21.3471,12.05212
11/29/2019,-21.5180,11.70335
11/30/2019,-21.6821,11.34335
12/1/2019,-21.8393,10.97245
12/2/2019,-21.9895,10.59102
12/3/2019,-22.1327,10.19944
12/4/2019,-22.2687,09.79810
12/5/2019,-22.3975,09.38741
12/6/2019,-22.5190,08.96779
12/7/2019,-22.6332,08.53969
12/8/2019,-22.7400,08.10354
12/9/2019,-22.8393,07.65982
12/10/2019,-22.9312,07.20899
12/11/2019,-23.0154,06.75156
12/12/2019,-23.0921,06.28800
12/13/2019,-23.1612,05.81882
12/14/2019,-23.2226,05.34455
12/15/2019,-23.2763,04.86570
12/16/2019,-23.3223,04.38281
12/17/2019,-23.3606,03.89640
12/18/2019,-23.3910,03.40703
12/19/2019,-23.4136,02.91523
12/20/2019,-23.4284,02.42155
12/21/2019,-23.4354,01.92655
12/22/2019,-23.4346,01.43078
12/23/2019,-23.4258,00.93480
12/24/2019,-23.4084,00.41852
12/25/2019,-23.3837,-00.07619
12/26/2019,-23.3511,-00.56943
12/27/2019,-23.3108,-01.06066
12/28/2019,-23.2626,-01.54934
12/29/2019,-23.2066,-02.03492
12/30/2019,-23.1429,-02.51688
12/31/2019,-23.0715,-02.99468
1/1/2020,-22.9709,-03.58390
